author_id,post_id,post_parent_id,discussion_topic_title,discussion_topic_message,post_message,count_of_likes,timestamp
,348887,,"Share any difficulties/ask for help from other teams.","<p>Is there something you think is technically possible but you just don't have the ability to do it? Are there questions you are struggling with that you think another person or team can help with? Ask those questions here.</p>
<p>P.S. The Hackathon Team won't necessarily be monitoring this section, it is more for participants to discuss issues. But please come talk to the Hackathon team if you are having trouble and we will try to help if we can!</p>",,,2019-09-30T18:56:14Z
,348886,,"Share things you can't do (based on technical limitations) that you wish you could.","<p>Use this to discuss any shortcomings of the Canvas API that you would like to share. Data that you can't access due to your role as student, data that is not accessible at all etc.</p>
<ul>
<li style='font-weight: 400;'><span style='font-weight: 400;'>There’s no reference in the API docs to this feature, but it would be useful to have</span></li>
<li style='font-weight: 400;'><span style='font-weight: 400;'>This is an existing, documented feature, but it’s not available to the student role</span></li>
</ul>",,,2019-09-30T18:56:14Z
,348885,,"Hackathon Open Q&A ","<p>Have a general question, ask here!</p>",,,2019-09-30T18:56:14Z
175457,1121660,348885,"Hackathon Open Q&A ","<p>Have a general question, ask here!</p>","<p>This is my first time attending a hackathon, do you need to have extensive programming experience before entering? If not, what sort of knowledge or experience would I need for the event? Thank you</p>",1,2019-10-31T21:41:51Z
185698,1125446,1121660,"Hackathon Open Q&A ","<p>Have a general question, ask here!</p>","<p>Hi Benny, Welcome! </p>
<p>You don't have to have extensive programming experience, but <em>some </em>programming experience will help. Take a poke around some of the resources we have included in this site, but otherwise show up with an open mind and looking to learn something. We will do some quick icebreaker activities to help with group formation, so just be honest about your skills and what you can contribute. </p>
<p>You can take a look at the <a href='https://ubc.instructure.com/courses/46341/pages/about-the-final-presentations-and-judging?module_item_id=1420261' data-api-endpoint='https://ubc.instructure.com/api/v1/courses/46341/pages/about-the-final-presentations-and-judging' data-api-returntype='Page'>rubric</a> that we will be using  for 'judging'. Notice, technical excellence and implementation are only 1/3 of the total score. We are also looking for novel projects, and projects that have the potential to positively impact the student experience. </p>
<p>Best,</p>
<p>Alison</p>",1,2019-11-01T23:58:56Z
328348,1125942,1125446,"Hackathon Open Q&A ","<p>Have a general question, ask here!</p>","<p>Hi,</p>
<p>I am curious as to how would the teams be formed. Would it be based on individual skillset?  Should we team up on our own after the morning session?  </p>
<p>Thanks and Regards,</p>
<p>Gayatri G</p>",,2019-11-02T02:39:01Z
49358,1127553,1125942,"Hackathon Open Q&A ","<p>Have a general question, ask here!</p>","<p>Team formation is up to you! There's no limits on team size, and team are self-formed. If you are looking for a team, talk to the other folks in the room, or make a post here.</p>",,2019-11-02T17:32:50Z
156691,1124867,348885,"Hackathon Open Q&A ","<p>Have a general question, ask here!</p>","<p>Hi,</p>
<p>I am also wondering what we need to bring to the hackathon and how to prepare.</p>
<p>Also, I am new to the Canvas API, is there any instruction on how to get the API token? </p>
<p>Kate</p>",,2019-11-01T21:05:42Z
185698,1125426,1124867,"Hackathon Open Q&A ","<p>Have a general question, ask here!</p>","<p>Hi Kate,  you should bring: a laptop. We also recommend a mug and water bottle! If you are planning on exploring the API we suggest you take a look at the <a href='https://ubc.instructure.com/courses/46341/pages/canvas-api-guidelines?module_item_id=1420235' data-api-endpoint='https://ubc.instructure.com/api/v1/courses/46341/pages/canvas-api-guidelines' data-api-returntype='Page'>Canvas API Guidelines</a>.  You can take a look at some resources about the API here: <a href='https://ubc.instructure.com/courses/46341/pages/the-canvas-rest-api?module_item_id=1420237' data-api-endpoint='https://ubc.instructure.com/api/v1/courses/46341/pages/the-canvas-rest-api' data-api-returntype='Page'>https://canvas.ubc.ca/courses/46341/pages/the-canvas-rest-api?module_item_id=1420237. </a></p>
<p>We will also give a very quick introduction to the API on Saturday morning. </p>
<p>Best,</p>
<p>Alison</p>",,2019-11-01T23:52:43Z
,348884,,"Share your ideas and discoveries.","<p>Use this forum to share what you are doing, your ideas, or anything else you may want to collaborate on with the rest of the teams.</p>",,,2019-09-30T18:56:14Z
,348883,,"Let's Get Some Discussion Started","<p>Use this as a space to introduce yourselves. </p>
<ul>
<li>What brought you here?</li>
<li>What skills will you bring to the hackathon?</li>
<li>What skills would you like to learn?</li>
<li>Any initial project ideas?</li>
</ul>",,,2019-09-30T18:56:14Z
,348882,,"What do you see?","<p><a href='https://en.wikipedia.org/wiki/The_dress'>https://en.wikipedia.org/wiki/The_dress</a></p>
<p> </p>",,,2019-09-30T18:56:14Z
,348881,,"What do you hear? ","<p><iframe src='https://www.youtube.com/embed/DdvN4WqJh6g' width='560' height='315' allowfullscreen='allowfullscreen' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture'></iframe></p>",,,2019-09-30T18:56:14Z
60616,1127201,348881,"What do you hear? ","<p><iframe src='https://www.youtube.com/embed/DdvN4WqJh6g' width='560' height='315' allowfullscreen='allowfullscreen' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture'></iframe></p>","<p>YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel YarryLaurel </p>",,2019-11-02T07:24:34Z
